Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.19-13.227.26.125-43418-443-6,192.168.0.19,43418,13.227.26.125,443,6,24/10/2021 10:12:08 AM,75145271,10,10,24.0,0.0,24.0,0.0,2.4,7.58946638440411,0.0,0.0,0.0,0.0,0.3193813753096985,0.2661511460914154,3955014.263157894,4970749.120413227,1.0222165E7,18.0,7.5098348E7,8344260.888888889,3856705.255696838,1.0240012E7,18.0,7.5123541E7,8347060.111111111,3854352.89772659,1.0250363E7,830.0,0,0,0,0,320,320,0.1330755730457077,0.1330755730457077,0.0,24.0,1.1428571428571428,5.237229365663818,27.428571428571434,2,0,0,1,20,0,0,0,1.0,1.2,2.4,0.0,0,0,0,0,0,0,1,3,1,0,501,133,1,32,24362.571428571428,6050.850900414554,35317.0,17826.0,1.0215065714285713E7,5846.745781893671,1.0222165E7,1.0204676E7,NeedManualLabel
152.156.219.130-192.168.0.19-41581-56011-17,152.156.219.130,41581,192.168.0.19,56011,17,24/10/2021 10:12:00 AM,119962635,1131,1899,160212.0,2096187.0,1225.0,64.0,141.655172413793,274.9193566668691,1249.0,64.0,1103.8372827804085,377.85329019984306,18809.181708954624,25.257864667610875,39604.699570815494,174207.3172544147,2511674.0,1.0,1.19962635E8,106161.62389380543,293527.60499270586,2511921.0,1.0,1.19742425E8,63088.73814541625,232865.16662243017,2512032.0,2.0,0,0,0,0,9048,15192,9.427935623454752,15.829929044156124,64.0,1249.0,744.4618937644339,578.231764989165,334351.9740424849,0,0,0,0,0,0,0,0,1.0,744.7075907590759,141.6551724137931,1103.8372827804108,0,0,0,118695,158,28405,45,6408,75,83847,0,0,1130,8,0,0,0,0,0,0,0,0,NeedManualLabel
148.103.80.186-192.168.0.19-50755-36878-17,148.103.80.186,50755,192.168.0.19,36878,17,24/10/2021 10:12:00 AM,119968492,262,257,99212.0,93051.0,1225.0,64.0,378.6717557251906,488.0875564118684,1249.0,64.0,362.0661478599224,496.40240841087655,1602.6124592780577,4.326135899082569,231599.40540540538,460175.7790271488,2642689.0,4.0,1.19967709E8,459646.3946360151,607606.3427087804,2643025.0,4.0,1.19967228E8,468621.984375,619119.4154043272,2642999.0,9.0,0,0,0,0,2096,2056,2.18390675445016,2.142229144632409,64.0,1249.0,372.0923076923075,492.7701719157972,242822.44232992432,0,0,0,0,0,0,0,0,0.0,372.80924855491327,378.67175572519085,362.0661478599222,0,0,0,5474,14,3307,6,2610,6,2448,0,0,261,8,0,0,0,0,0,0,0,0,NeedManualLabel
83.84.5.134-192.168.0.19-57179-47314-17,83.84.5.134,57179,192.168.0.19,47314,17,24/10/2021 10:12:00 AM,119880293,1241,788,1269253.0,128276.0,1225.0,64.0,1022.7663174858985,426.8729434674599,1249.0,64.0,162.78680203045704,315.31667425092235,11657.70424001216,16.92521722481943,59112.57051282065,233661.05024868107,2524973.0,1.0,1.19880293E8,96677.65564516147,316339.60064273054,2525135.0,1.0,1.19474784E8,151810.39898348143,380000.95541932026,2525281.0,10.0,0,0,0,0,9928,6304,10.351993383933422,6.573223840886008,64.0,1249.0,688.4694581280795,570.7834246837783,325793.71789374243,0,0,0,0,0,0,0,0,0.0,688.8087727944801,1022.7663174858985,162.78680203045684,0,0,0,53610,77,20209,40,40943,25,4137,0,0,1240,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-187.252.202.51-43674-52206-17,192.168.0.19,43674,187.252.202.51,52206,17,24/10/2021 10:12:00 AM,119990596,344,415,100062.0,290131.0,1249.0,64.0,290.87790697674416,450.5220323889941,1225.0,64.0,699.1108433734942,561.0720477412267,3251.8631710105014,6.325495708013651,158298.9393139843,382969.8113933997,3360081.0,6.0,1.19843401E8,349397.6705539359,542291.5946942838,3360081.0,12.0,1.1981774E8,289414.8309178746,523750.9988894025,3511285.0,11.0,0,0,0,0,2752,3320,2.866891335384316,3.458604372629335,64.0,1249.0,515.055263157895,552.6698877694513,305444.0048470979,0,0,0,0,0,0,0,0,1.0,515.733860342556,290.8779069767442,699.1108433734939,0,0,0,13894,26,6045,10,2943,12,8533,0,0,343,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-190.96.98.155-34424-61147-17,192.168.0.19,34424,190.96.98.155,61147,17,24/10/2021 10:12:00 AM,119772646,252,252,92754.0,92810.0,1249.0,64.0,368.0714285714289,499.4662199166144,1225.0,64.0,368.29365079365095,481.0362994554463,1549.302000057676,4.207972494821564,238116.59244532802,450523.5954979864,2501387.0,4.0,1.19772646E8,477181.8565737053,571661.3584828165,2501676.0,10.0,1.19771855E8,477178.70517928293,570890.9802474101,2501746.0,4.0,0,0,0,0,2016,2016,2.103986247410782,2.103986247410782,64.0,1249.0,369.9267326732673,490.93120596100545,241013.44898632713,0,0,0,0,0,0,0,0,1.0,370.6607142857143,368.07142857142856,368.2936507936508,0,0,0,6603,17,2652,8,2992,8,2993,0,0,251,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-178.237.226.72-35419-3367-17,192.168.0.19,35419,178.237.226.72,3367,17,24/10/2021 10:12:00 AM,119958598,1395,2464,167730.0,2766539.0,1249.0,64.0,120.23655913978499,241.84222410436217,1225.0,64.0,1122.783685064935,315.6360769158171,24460.68100929289,32.1694323236422,31093.46759979253,162285.61443287725,2527528.0,0.0,1.19958598E8,86053.51362984224,277807.4461185412,2527849.0,12.0,1.19763248E8,48624.94843686564,212025.4570811918,2527792.0,2.0,0,0,0,0,11160,19712,11.629012203026916,20.54042012061528,64.0,1249.0,760.4968911917094,562.8221711256791,316768.79631062323,0,0,0,0,0,0,0,0,1.0,760.6939621663644,120.23655913978494,1122.783685064935,0,0,0,172482,226,35350,66,7987,117,131739,0,0,1394,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-177.228.39.112-38889-32001-17,192.168.0.19,38889,177.228.39.112,32001,17,24/10/2021 10:12:00 AM,119832618,376,362,106775.0,94086.0,1249.0,64.0,283.97606382978717,446.47025368498197,1225.0,64.0,259.90607734806645,396.92494879613446,1676.1796859015465,6.158590309693476,162595.13975576646,371916.0421435329,2541775.0,3.0,1.19832618E8,319553.64800000004,516918.25363178726,2583793.0,11.0,1.18421332E8,328036.93074792234,529067.9074800883,2541775.0,3.0,0,0,0,0,3008,2896,3.137709968082313,3.020880341611163,64.0,1249.0,273.491204330176,424.01804733033117,179791.30446182695,0,0,0,0,0,0,0,0,0.0,273.8617886178862,283.9760638297872,259.9060773480663,0,0,0,6817,25,2936,11,3336,11,2940,0,0,375,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-208.168.250.94-34808-39851-17,192.168.0.19,34808,208.168.250.94,39851,17,24/10/2021 10:12:00 AM,119966311,256,262,92988.0,100594.0,1249.0,64.0,363.2343750000002,497.02069999698233,1225.0,64.0,383.9465648854964,490.0022411861655,1613.6363482911465,4.317878875178549,232043.1547388782,475079.7426803995,3749302.0,8.0,1.19966311E8,470456.1215686272,629150.6159066473,3863608.0,10.0,1.19925183E8,459483.459770115,619186.0966373109,3875591.0,8.0,0,0,0,0,2048,2096,2.1339324170766574,2.1839464581018917,64.0,1249.0,375.39691714836226,494.13435528362015,244168.76107155893,0,0,0,0,0,0,0,0,1.0,376.1216216216216,363.234375,383.9465648854962,0,0,0,7114,18,3179,7,2656,7,2874,0,0,255,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-213.194.147.200-45585-52499-17,192.168.0.19,45585,213.194.147.200,52499,17,24/10/2021 10:12:00 AM,119804625,762,1203,127543.0,1235408.0,1249.0,64.0,167.37926509186352,322.59345210066493,1225.0,64.0,1026.93931837074,424.0225468943166,11376.44727822486,16.40170402436467,61000.31822810596,218644.24855572882,2559191.0,1.0,1.19804625E8,157430.51905387666,361521.27185496496,2605000.0,9.0,1.19751362E8,99626.75707154738,293529.13591979706,2559517.0,3.0,0,0,0,0,6096,9624,6.360355453723093,10.041348570641576,64.0,1249.0,693.8962360122073,570.8313774593919,325848.46149218676,0,0,0,0,0,0,0,0,1.0,694.2493638676845,167.37926509186352,1026.9393183707398,0,0,0,59160,84,17568,27,4555,42,44121,0,0,761,8,0,0,0,0,0,0,0,0,NeedManualLabel
