Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Flow Packets Count,Flow Bytes Count,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Fwd Packet Length Rel Std,Fwd Packet Length Median,Fwd Packet Length IQR,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Bwd Packet Length Rel Std,Bwd Packet Length Median,Bwd Packet Length IQR,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Flow IAT Rel Std,Flow IAT Median,Flow IAT IQR,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Fwd IAT Rel Std,Fwd IAT Median,Fwd IAT IQR,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd IAT Rel Std,Bwd IAT Median,Bwd IAT IQR,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,Packet Length Rel Std,Packet Length Median,Packet Length IQR,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Rel Std,Active Median,Active IQR,Active Max,Active Min,Idle Mean,Idle Std,Idle Rel Std,Idle Median,Idle IQR,Idle Max,Idle Min,Label
192.168.0.2-34.117.237.239-55316-443-6,192.168.0.2,55316,34.117.237.239,443,6,27/10/2021 03:23:04 PM,53072000,8,141,5,3,102.0,39.0,39.0,0.0,20.4,19.603571103245446,0.9609593678061494,24.0,39.0,39.0,0.0,13.0,22.516660498395403,1.7320508075688772,0.0,39.0,2.6567681640036174,0.1507386192342478,7581714.285714285,2.002477138238114E7,5.2993608E7,23.0,2.6411930900789113,837.0,45005.0,5.3026122E7,1.32565305E7,2.6491389314306244E7,5.2993608E7,23.0,1.9983652068168398,16245.5,3.97531755E7,5.3039817E7,2.65199085E7,3.750363057684182E7,5.303898E7,837.0,1.4141689281032706,2.65199085E7,5.3038143E7,1,0,0,0,160,96,0.09421163702140488,0.05652698221284293,0.0,39.0,20.0,19.557607215607945,382.5,0.9778803607803972,24.0,39.0,2,0,0,4,8,0,0,0,0.0,22.5,20.4,13.0,0,0,0,0,0,0,5,102,3,39,501,272,2,32,32219.0,0.0,0.0,32219.0,0.0,32219.0,32219.0,5.2993608E7,0.0,0.0,5.2993608E7,0.0,5.2993608E7,5.2993608E7,ManualLabel
31.209.137.18-192.168.0.2-443-43376-6,31.209.137.18,443,192.168.0.2,43376,6,27/10/2021 03:22:28 PM,91677912,8,24,4,4,24.0,0.0,24.0,0.0,6.0,12.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2617860668554493,0.08726202228514977,1.309684457142857E7,2.2231751570346422E7,4.6155336E7,30.0,1.6974891508482977,180546.0,4.5118964E7,9.1677912E7,3.0559304E7,2.6468888033403803E7,4.6335882E7,1063.0,0.8661482615377563,4.5340967E7,4.6334819E7,9.1497336E7,3.0499112E7,2.6384208017960686E7,4.6335996E7,41343.0,0.8650811872149159,4.5119997E7,4.6294653E7,1,0,0,0,116,128,0.04363101114257489,0.04363101114257489,0.0,24.0,5.333333333333334,10.583005244258361,111.99999999999999,1.9843134832984426,0.0,12.0,1,0,1,1,7,0,0,0,1.0,6.0,6.0,0.0,0,0,0,0,0,0,2,12,2,0,126,501,0,20,111016.5,98490.78223113065,0.8871724674361978,111016.5,139287.0,180660.0,41373.0,4.56376665E7,732095.227726899,0.01604146933601215,4.56376665E7,1035339.0,4.6155336E7,4.5119997E7,ManualLabel
31.209.137.18-192.168.0.2-443-43374-6,31.209.137.18,443,192.168.0.2,43374,6,27/10/2021 03:22:33 PM,90588369,8,24,4,4,24.0,0.0,24.0,0.0,6.0,12.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26493467389836767,0.08831155796612256,1.294119557142857E7,2.1968561464250978E7,4.519602E7,20.0,1.6975681530347109,167879.0,4.5003138E7,9.0588369E7,3.0196123E7,2.615085523439356E7,4.541727E7,51.0,0.8660335379609349,4.5171048E7,4.5417219E7,9.0420459E7,3.0140153E7,2.6067104674824495E7,4.519602E7,40454.0,0.8648630507889092,4.5183985E7,4.5155566E7,1,0,0,0,116,128,0.04415577898306128,0.04415577898306128,0.0,24.0,5.333333333333334,10.583005244258361,111.99999999999999,1.9843134832984426,0.0,12.0,1,0,1,1,7,0,0,0,1.0,6.0,6.0,0.0,0,0,0,0,0,0,2,12,2,0,126,501,0,20,110650.5,99229.0017106894,0.8967786111286383,110650.5,140331.0,180816.0,40485.0,4.50995945E7,136366.24985860687,0.0030236690899428566,4.50995945E7,192851.0,4.519602E7,4.5003169E7,ManualLabel
192.168.0.7-224.0.0.113-0-0-0,192.168.0.7,0,224.0.0.113,0,0,27/10/2021 03:22:22 PM,116926009,27,0,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.23091526197563111,4497154.192307692,3349155.8672570977,1.3744866E7,520540.0,0.7447278265410098,3674452.0,3679066.0,1.16926009E8,4497154.192307692,3349155.8672570977,1.3744866E7,520540.0,0.7447278265410098,3674452.0,3679066.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23091526197563111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6284515.8,4326124.550022595,0.6883783393499615,4949991.0,8273136.0,1.218453E7,2256082.0,7804441.1,2950264.0508302697,0.37802374481758466,6915008.0,3666094.0,1.3744866E7,5290104.0,ManualLabel
192.168.0.2-192.168.0.255-57621-57621-17,192.168.0.2,57621,192.168.0.255,57621,17,27/10/2021 03:22:22 PM,90036483,4,176,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0.0,44.0,0.0,0,0,0,0,0,0,0,1.954763159729373,0.04442643544839484,3.0012161E7,18330.925863141772,3.0033322E7,3.0001154E7,6.107832709261347E-4,3.0002007E7,32168.0,9.0036483E7,3.0012161E7,18330.925863141772,3.0033322E7,3.0001154E7,6.107832709261347E-4,3.0002007E7,32168.0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0.04442643544839484,0.0,44.0,44.0,44.0,0.0,0.0,0.0,44.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,44.0,0.0,0,0,0,0,0,0,1,58,0,0,0,0,3,8,0,0,0,0,0,0,0,3.0012161E7,18330.925863141772,6.107832709261347E-4,3.0002007E7,32168.0,3.0033322E7,3.0001154E7,ManualLabel
192.168.0.7-224.0.0.2-0-0-0,192.168.0.7,0,224.0.0.2,0,0,27/10/2021 03:22:22 PM,119999565,10,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.08333363541776172,1.3333285E7,3776900.9681536527,1.604437E7,7998648.0,0.283268599460197,1.599963E7,7500918.5,1.19999565E8,1.3333285E7,3776900.9681536527,1.604437E7,7998648.0,0.283268599460197,1.599963E7,7500918.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333363541776172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333285E7,3776900.9681536527,0.283268599460197,1.599963E7,7500918.5,1.604437E7,7998648.0,ManualLabel
192.168.0.2-35.186.224.47-52736-443-6,192.168.0.2,52736,35.186.224.47,443,6,27/10/2021 03:22:39 PM,93107315,16,264,8,8,140.0,124.0,35.0,0.0,17.5,18.708286933869708,1.0690449676496976,17.5,35.0,31.0,0.0,15.5,16.57019699857031,1.0690449676496974,15.5,31.0,2.8354377956232546,0.17184471488625785,6207154.333333333,1.2773123590059875E7,3.0915239E7,22.0,2.0578066701944753,37460.0,83770.0,9.3107315E7,1.3301045E7,1.6450245351781322E7,3.0915239E7,107071.0,1.2367633785000594,120137.0,3.0765316E7,9.306982E7,1.329568857142857E7,1.6479155758241115E7,3.0942882E7,82544.0,1.2394360525000243,83806.0,3.0816143E7,1,0,0,0,256,256,0.08592235744312893,0.08592235744312893,0.0,35.0,17.58823529411765,17.157574214940073,294.3823529411765,0.9755142530233486,31.0,35.0,0,0,0,8,16,0,0,0,1.0,18.6875,17.5,15.5,0,0,0,0,0,0,2,46,2,41,501,266,3,32,111948.33333333333,7134.688874319141,0.06373197940406267,108637.0,13066.0,120137.0,107071.0,3.088709E7,24395.769243866856,7.898370886952075E-4,3.0873953E7,43161.0,3.0915239E7,3.0872078E7,ManualLabel
192.168.0.1-224.0.0.1-0-0-0,192.168.0.1,0,224.0.0.1,0,0,27/10/2021 03:22:48 PM,90159810,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.04436566581052023,3.005327E7,32045.899846938297,3.0089833E7,3.0030059E7,0.0010663032624049994,3.0039918E7,59774.0,9.015981E7,3.005327E7,32045.899846938297,3.0089833E7,3.0030059E7,0.0010663032624049994,3.0039918E7,59774.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04436566581052023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.005327E7,32045.899846938297,0.0010663032624049994,3.0039918E7,59774.0,3.0089833E7,3.0030059E7,ManualLabel
192.168.0.7-239.255.255.250-0-0-0,192.168.0.7,0,239.255.255.250,0,0,27/10/2021 03:22:48 PM,90215999,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.04433803365631411,3.0071999666666668E7,66253.42980807358,3.0115699E7,2.9995769E7,0.002203160100507458,3.0104531E7,119930.0,9.0215999E7,3.0071999666666668E7,66253.42980807358,3.0115699E7,2.9995769E7,0.002203160100507458,3.0104531E7,119930.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04433803365631411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0071999666666668E7,66253.42980807358,0.002203160100507458,3.0104531E7,119930.0,3.0115699E7,2.9995769E7,ManualLabel
192.168.0.2-224.0.0.251-0-0-0,192.168.0.2,0,224.0.0.251,0,0,27/10/2021 03:22:48 PM,90192009,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.033262370283824144,4.50960045E7,2.12641172451622E7,6.0132006E7,3.0060003E7,0.4715299610448238,4.50960045E7,3.0072003E7,9.0192009E7,4.50960045E7,2.12641172451622E7,6.0132006E7,3.0060003E7,0.4715299610448238,4.50960045E7,3.0072003E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033262370283824144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50960045E7,2.12641172451622E7,0.4715299610448238,4.50960045E7,3.0072003E7,6.0132006E7,3.0060003E7,ManualLabel
